"","x"
"1",9.990077083
"2",9.109849287
"3",9.263778346
"4",12.44842544
"5",13.06405192
"6",8.656493621
"7",9.984370685
"8",12.30171951
"9",9.354683408
"10",8.41064928
"11",11.25150169
"12",11.33195526
"13",7.146963512
"14",10.25240081
"15",8.58139818
"16",6.379827178
"17",5.271772942
"18",9.797083266
"19",8.517537012
"20",10.68847617
"21",7.598459303
"22",11.03593583
"23",9.98872765
"24",10.65463756
"25",8.670568167
"26",9.20587355
"27",10.13558793
"28",7.231570667
"29",8.384395221
"30",6.170702583
"31",9.090649729
"32",9.414267158
"33",9.059011517
"34",7.215960719
"35",6.525594339
"36",11.57830213
"37",11.15631537
"38",8.081809971
"39",15.09349267
"40",9.907299608
"41",13.48762049
"42",8.098801259
"43",8.396235059
"44",10.2255512
"45",4.781949416
"46",5.694428383
"47",10.00673875
"48",10.69317907
"49",4.477752289
"50",8.142579119
"51",12.57448229
"52",11.99949018
"53",14.77289166
"54",10.19504539
"55",8.300616557
"56",6.643558328
"57",10.92553914
"58",4.833461429
"59",9.813599325
"60",8.792237385
"61",9.145788335
"62",8.905029224
"63",10.0661416
"64",7.479287464
"65",14.60839319
"66",11.69250727
"67",9.855863898
"68",11.30581106
"69",10.37726519
"70",8.944269504
"71",9.814176112
"72",9.990789743
"73",11.17130032
"74",11.92487519
"75",10.81169347
"76",7.212689298
"77",7.416813885
"78",11.27137021
"79",5.330444218
"80",8.595605959
"81",10.83975964
"82",8.889291852
"83",9.791651613
"84",7.593675826
"85",11.78883957
"86",9.412439414
"87",9.855554536
"88",7.8264755
"89",11.1402276
"90",9.464588555
"91",12.59479207
"92",12.98061377
"93",12.66885351
"94",8.17909964
"95",9.631154079
"96",9.50115748
"97",5.496707891
"98",8.06345526
"99",9.045502023
"100",9.834152168
"101",8.662381291
"102",12.89957362
"103",7.168943751
"104",13.26160576
"105",9.92197699
"106",11.66145807
"107",7.361350982
"108",8.215022071
"109",13.42461145
"110",11.27984471
"111",8.297083667
"112",7.800435875
"113",11.66058978
"114",8.463587409
"115",9.815168697
"116",10.75049622
"117",6.970709998
"118",7.808107513
"119",9.93564576
"120",7.10013438
"121",8.29982679
"122",9.030026616
"123",7.881470901
"124",6.251844803
"125",8.592913131
"126",8.303414407
"127",7.678560757
"128",7.249933754
"129",13.34739288
"130",8.972481557
"131",5.825130645
"132",8.002562318
"133",8.324717323
"134",9.039971694
"135",6.245061469
"136",7.264971269
"137",12.11097304
"138",12.61657703
"139",4.069754776
"140",13.31214067
"141",12.99398273
"142",7.452273152
"143",9.606292197
"144",9.307231786
"145",9.362359041
"146",9.175901302
"147",7.848205962
"148",9.442451742
"149",11.13436709
"150",8.910858418
"151",7.376599029
"152",11.57049315
"153",10.89463518
"154",11.8019087
"155",11.66476206
"156",11.36884848
"157",11.02971865
"158",9.42607302
"159",9.491383898
"160",6.825662743
"161",7.076448191
"162",9.778824429
"163",8.408747666
"164",10.60958971
"165",7.096990521
"166",9.366480702
"167",8.263616021
"168",8.70267431
"169",9.961466536
"170",10.6520965
"171",11.12127233
"172",8.514606401
"173",8.579291435
"174",10.37360307
"175",9.592534817
"176",10.04689451
"177",11.19959416
"178",10.16587105
"179",6.98561607
"180",11.77538982
"181",8.514279484
"182",11.71784162
"183",8.786407324
"184",12.36956212
"185",12.41810131
"186",8.061737142
"187",11.46764702
"188",11.9652415
"189",12.12047014
"190",8.329698908
"191",13.79443002
"192",10.7187458
"193",9.324616944
"194",6.143902562
